모델명,브랜드,형태,건반 액션,건반 재질,음원,동시 발음수,미디 통신,오디오 I/F,페달 사양,스피커
AP-750,Casio,콘솔,Smart Hybrid Hammer,목재+플라스틱,AiR Grand,256,"USB, BT(Audio/MIDI)",❌,3페달 (Continuous),40W (8-spk)
YDP-145,Yamaha,콘솔,GHS,플라스틱,CFX (VRM Lite),192,USB-B,✅,3페달 (기본),8W x 2
FP-90X,Roland,포터블,PHA-50 (Hybrid),목재+플라스틱,Pure Acoustic Modeling,무제한,"USB, 5-pin, BT",✅,하프 (기본포함),60W (25W+5W) x 2
LX-5,Roland,콘솔,PHA-50,목재+플라스틱,Piano Reality Modeling,무제한,"USB, BT(Audio/MIDI)",✅,3페달 (Progressive),90W (4-spk)
CN201,Kawai,콘솔,RH3 (Let-off),플라스틱,PHI (Progressive),192,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),40W (20W+20W) 2-spk
FP-30X,Roland,포터블,PHA-4 Standard,플라스틱,SuperNATURAL Piano,256,"USB, BT(Audio/MIDI)",✅,스위치 (기본포함),22W (11W+11W) 2-spk
P-225,Yamaha,포터블,GHC,플라스틱,CFX (VRM Lite),192,"USB-B, BT(별매)",✅,하프 (별매),7W x 2
CLP-775,Yamaha,콘솔,GrandTouch (Linear),목재,"CFX, Bösendorfer (VRM)",256,"USB-B, 5-pin, BT",✅,3페달 (기본/GP),(42W+50W+50W) x 2
CLP-725,Yamaha,콘솔,GrandTouch-S,플라스틱,"CFX, Bösendorfer (VRM)",256,USB-B,❌,3페달 (기본),20W x 2
CDP-135,Casio,포터블,Scaled Hammer Action,플라스틱,Dual-element AHL,64,USB,❌,스위치 (기본포함),16W (8W+8W) 2-spk
CDP-S100,Casio,포터블,Scaled Hammer Action II,플라스틱,Stereo Sampling,64,USB,❌,스위치 (기본포함),16W (8W+8W) 2-spk
PX-S5000,Casio,포터블,Smart Hybrid Hammer,목재+플라스틱,Multi-Dimensional AiR,192,"USB, BT(Audio/MIDI)",❌,스위치 (기본포함),16W (8W+8W) 2-spk
P-143,Yamaha,포터블,GHC,플라스틱,CFIIIS,64,USB-B,✅,하프 (별매/3페달불가),7W x 2
PX-770,Casio,슬림,3-sensor Scaled Hammer II,플라스틱,Multi-Dimensional AiR,128,USB,❌,3페달 (Half support),16W (8W+8W) 2-spk
CA901,Kawai,콘솔,Grand Feel III,목재,SK-EX Rendering,256,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),Soundboard + (50W+50W+35W)
CA501,Kawai,콘솔,Grand Feel Compact,목재,Harmonic Imaging XL,256,"USB, BT(Audio/MIDI)",❌,3페달 (Grand Feel),100W (50W+50W) 4-spk
P-125,Yamaha,포터블,GHS,플라스틱,Pure CF,192,"USB-B, BT(별매)",✅,하프 (별매),7W x 2 (2-way)
AP-710,Casio,콘솔,3-sensor Scaled Hammer II,플라스틱,AiR Grand,256,USB,❌,3페달 (Half support),60W (30W+30W) 6-spk
HP702,Roland,콘솔,PHA-4 Standard,플라스틱,SuperNATURAL Modeling,무제한,"USB-B, BT(Audio/MIDI)",❌,3페달 (Progressive),28W (14W+14W) 2-spk
Poetry,Korg,콘솔,RH3,플라스틱,Stereo PCM (Chopin),120,"5-pin, BT(Audio)",❌,3페달 (Half support),50W (25W+25W) 2-spk
KF-20 (New),Roland,콘솔,PHA-50 (Hybrid),목재+플라스틱,Piano Reality Modeling,무제한,"USB-C, BT(Audio/MIDI)",✅,3페달 (Progressive),48W (24W+24W) 4-spk
B2+,Korg,포터블,NH,플라스틱,Stereo PCM,120,USB-C,✅,스위치 (기본포함),30W (15W+15W) 2-spk
E1 Air,Korg,콘솔,RH3,플라스틱,Stereo PCM,120,"USB, BT(Audio)",❌,3페달 (Half support),80W (40W+40W) 2-spk
